the-grapes-of-wrath,"{'Director': ['John Ford'], 'Principal Cast': ['Charley Grapewin', 'Dorris Bowdon', 'Eddie Quillan', 'Henry Fonda', 'Jane Darwell', 'John Carradine', 'John Qualen', 'O.Z. Whitehead', 'Russell Simpson', 'Zeffie Tilbury'], 'Cast': ['Darryl Hickman', 'Frank Darien', 'Frank Sully', 'Roger Imhof', 'Shirley Mills']}"
children-of-paradise,"{'Director': ['Marcel Carné'], 'Principal Cast': ['Arletty', 'Jean-Louis Barrault'], 'Cast': ['Etienne Decroux', 'Fabien Loris', 'Gaston Modot', 'Habib Benglia', 'Jane Marken', 'Louis Florencie', 'Marcel Pérès', 'Marcelle Monthil', 'María Casares', 'Palau', 'Pierre Brasseur', 'Pierre Renoir', 'Rognoni']}"
mean-streets,"{'Director': ['Martin Scorsese'], 'Principal Cast': ['Amy Robinson', 'Cesare Danova', 'David Proval', 'George Memmoli', 'Harvey Keitel', 'Jeannie Bell', 'Lenny Scaletta', 'Richard Romanus', 'Robert De Niro', 'Victor Argo'], 'Cast': ['David Carradine', 'Harry Northup', 'Lois Walden', 'Murray Moston', 'Robert Carradine']}"
the-lady-eve,"{'Director': ['Preston Sturges'], 'Principal Cast': ['Barbara Stanwyck', 'Charles Coburn', 'Eric Blore', 'Eugene Pallette', 'Henry Fonda', 'Janet Beecher', ""Martha O'Driscoll"", 'Melville Cooper', 'Robert Greig', 'William Demarest'], 'Cast': ['Abdullah Abbas', 'Dora Clement', 'Luis Alberni', 'Mary Akin', 'Norman Ainsley']}"
gravity,"{'Director': ['Alfonso Cuarón'], 'Principal Cast': ['George Clooney', 'Sandra Bullock'], 'Cast': ['Amy Warren', 'Basher Savage', 'Ed Harris', 'Eric Michels', 'George Clooney', 'Janis Ahern', 'Orto Ignatiussen', 'Paul Sharma', 'Sandra Bullock']}"
fantasia,"{'Director': ['Ben Sharpsteen', 'Bill Roberts', 'David Hand', 'Ford Beebe Jr.', 'Hamilton Luske', 'James Algar', 'Jim Handley', 'Norman Ferguson', 'Paul Satterfield', 'Samuel Armstrong', 'T. Hee', 'Wilfred Jackson'], 'Principal Cast': ['Corey Burton', 'Deems Taylor', 'Hugh Douglas', 'James MacDonald', 'Julietta Novis', 'Leopold Stokowski', 'Paul J. Smith', 'Tim Matheson', 'Walt Disney']}"
spirited-away,"{'Director': ['Hayao Miyazaki'], 'Principal Cast': ['Miyu Irino'], 'Cast': ['Bunta Sugawara', 'Koba Hayashi', 'Mari Natsuki', 'Noriko Kitou', 'Rumi Hîragi', 'Ryûnosuke Kamiki', 'Shigeru Wakita', 'Shiro Saito', 'Takashi Naitô', 'Takehiko Ono', 'Tatsuya Gashûin', 'Tsunehiko Kamijô', 'Yasuko Sawaguchi', 'Yô Ôizumi', 'Yumi Tamai']}"
beauty-and-the-beast-1991,"{'Director': ['Gary Trousdale', 'Kirk Wise'], 'Principal Cast': [""Paige O'Hara"", 'Robby Benson'], 'Cast': ['Alec Murphy', 'Alvin Epstein', 'Angela Lansbury', 'Bradley Pierce', 'Brian Cummings', 'David Ogden Stiers', 'Jerry Orbach', 'Jesse Corti', 'Jo Anne Worley', 'Mary Kay Bergman', 'Rex Everhart', 'Richard White', 'Tony Jay']}"
lovers-rock,"{'Director': ['Steve McQueen'], 'Principal Cast': ['Amarah-Jae St. Aubyn', 'Daniel Francis-Swaby', 'Ellis George', 'Francis Lovehall', 'Joshua Viner', 'Kadeem Ramsay', 'Kedar Williams-Stirling', 'Marcus Fraser', 'Micheal Ward', 'Shaniqua Okwok'], 'Cast': ['Alexander James-Blake', 'Frankie Fox', 'Jermaine Freeman', 'Romario Simpson', 'Saffron Coomber']}"
toy-story,"{'Director': ['John Lasseter'], 'Principal Cast': ['Tim Allen', 'Tom Hanks'], 'Cast': ['Annie Potts', 'Don Rickles', 'Erik von Detten', 'Jack Angel', 'Jim Varney', 'John Morris', 'John Morris', 'John Ratzenberger', 'Laurie Metcalf', 'Penn Jillette', 'R. Lee Ermey', 'Sarah Freeman', 'Spencer Aste', 'Wallace Shawn']}"
the-bride-of-frankenstein,"{'Director': ['James Whale'], 'Principal Cast': ['Boris Karloff', 'Colin Clive', 'Douglas Walton', 'E.E. Clive', 'Elsa Lanchester', 'Ernest Thesiger', 'Gavin Gordon', 'Lucien Prival', ""Una O'Connor"", 'Valerie Hobson'], 'Cast': ['Anne Darling', 'Dwight Frye', 'Mary Gordon', 'O.P. Heggie', 'Reginald Barlow']}"
